Date : 2022-10-19 15:19:06
Directory : /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin
Total : 1721 files,  247842 codes, 83227 comments, 47887 blanks, all 378956 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/eeprom_api.cpp                                                                              | C++      |          5 |         22 |          4 |         31 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/eeprom_api.h                                                                                | C++      |         24 |         35 |         13 |         72 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/eeprom_if.h                                                                                 | C++      |          4 |         24 |          2 |         30 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/eeprom_if_i2c.cpp                                                                           | C++      |         52 |         33 |         18 |        103 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/eeprom_if_spi.cpp                                                                           | C++      |         40 |         26 |         19 |         85 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/esp_wifi.cpp                                                                                | C++      |         20 |         21 |          3 |         44 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/esp_wifi.h                                                                                  | C++      |          2 |         21 |          2 |         25 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/math_32bit.h                                                                                | C++      |          5 |         24 |          3 |         32 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/progmem.h                                                                                   | C++      |        159 |         24 |          8 |        191 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/servo.cpp                                                                                   | C++      |         72 |         58 |         28 |        158 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/servo.h                                                                                     | C++      |         40 |         67 |          9 |        116 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/shared/servo_private.h                                                                             | C++      |         36 |         46 |         17 |         99 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/MarlinCore.cpp                                                                                         | C++      |      1,144 |        254 |        274 |      1,672 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/MarlinCore.h                                                                                           | C++      |         47 |         23 |         17 |         87 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/boards.h                                                                                          | C++      |        348 |         81 |         47 |        476 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/bug_on.h                                                                                          | C++      |          9 |         28 |          3 |         40 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/debug_out.h                                                                                       | C++      |         85 |         26 |         10 |        121 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/debug_section.h                                                                                   | C++      |         23 |         21 |          6 |         50 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/drivers.h                                                                                         | C++      |        134 |         38 |         32 |        204 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/language.h                                                                                        | C++      |        422 |         94 |         49 |        565 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/macros.h                                                                                          | C++      |        554 |         76 |         91 |        721 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/millis_t.h                                                                                        | C++      |          8 |         21 |          5 |         34 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/multi_language.h                                                                                  | C++      |         56 |         27 |         11 |         94 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/serial.cpp                                                                                        | C++      |         67 |         25 |         19 |        111 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/serial.h                                                                                          | C++      |        238 |         73 |         64 |        375 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/serial_base.h                                                                                     | C++      |        135 |         79 |         45 |        259 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/serial_hook.h                                                                                     | C++      |        208 |         46 |         55 |        309 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/types.h                                                                                           | C++      |        542 |        113 |         89 |        744 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/utility.cpp                                                                                       | C++      |        131 |         22 |         26 |        179 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/core/utility.h                                                                                         | C++      |         52 |         30 |         13 |         95 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/adc/adc_mcp3426.cpp                                                                            | C++      |         46 |         37 |         22 |        105 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/adc/adc_mcp3426.h                                                                              | C++      |          9 |         25 |          5 |         39 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/ammeter.cpp                                                                                    | C++      |         23 |         21 |         11 |         55 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/ammeter.h                                                                                      | C++      |         13 |         21 |          6 |         40 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/babystep.cpp                                                                                   | C++      |         35 |         21 |         12 |         68 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/babystep.h                                                                                     | C++      |         46 |         25 |         12 |         83 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/backlash.cpp                                                                                   | C++      |        130 |         49 |         39 |        218 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/backlash.h                                                                                     | C++      |         61 |         22 |         14 |         97 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/baricuda.cpp                                                                                   | C++      |          6 |         21 |          6 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/baricuda.h                                                                                     | C++      |          3 |         21 |          2 |         26 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/abl/bbl.cpp                                                                           | C++      |        300 |         76 |         64 |        440 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/abl/bbl.h                                                                             | C++      |         39 |         21 |         11 |         71 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/bedlevel.cpp                                                                          | C++      |        138 |         44 |         36 |        218 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/bedlevel.h                                                                            | C++      |         54 |         28 |         18 |        100 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/hilbert_curve.cpp                                                                     | C++      |         52 |         44 |         15 |        111 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/hilbert_curve.h                                                                       | C++      |         10 |         19 |          4 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/mbl/mesh_bed_leveling.cpp                                                             | C++      |         74 |         36 |         22 |        132 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/mbl/mesh_bed_leveling.h                                                               | C++      |         83 |         21 |         22 |        126 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/ubl/ubl.cpp                                                                           | C++      |        204 |         41 |         56 |        301 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/ubl/ubl.h                                                                             | C++      |        193 |         65 |         59 |        317 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/ubl/ubl_G29.cpp                                                                       | C++      |      1,148 |        389 |        315 |      1,852 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bedlevel/ubl/ubl_motion.cpp                                                                    | C++      |        266 |        116 |        111 |        493 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/binary_stream.cpp                                                                              | C++      |          9 |         21 |          7 |         37 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/binary_stream.h                                                                                | C++      |        376 |         36 |         45 |        457 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bltouch.cpp                                                                                    | C++      |         95 |         61 |         41 |        197 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/bltouch.h                                                                                      | C++      |         66 |         32 |         21 |        119 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/cancel_object.cpp                                                                              | C++      |         49 |         21 |         13 |         83 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/cancel_object.h                                                                                | C++      |         17 |         21 |          4 |         42 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/caselight.cpp                                                                                  | C++      |         56 |         31 |         17 |        104 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/caselight.h                                                                                    | C++      |         28 |         21 |          9 |         58 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/closedloop.cpp                                                                                 | C++      |         15 |         21 |          9 |         45 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/closedloop.h                                                                                   | C++      |          8 |         21 |          4 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/controllerfan.cpp                                                                              | C++      |         45 |         28 |         14 |         87 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/controllerfan.h                                                                                | C++      |         42 |         21 |         10 |         73 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/cooler.cpp                                                                                     | C++      |         21 |         21 |          7 |         49 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/cooler.h                                                                                       | C++      |         66 |         28 |         16 |        110 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/dac/dac_dac084s085.cpp                                                                         | C++      |         69 |          9 |         20 |         98 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/dac/dac_dac084s085.h                                                                           | C++      |          9 |         21 |          2 |         32 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/dac/dac_mcp4728.cpp                                                                            | C++      |         66 |         70 |         19 |        155 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/dac/dac_mcp4728.h                                                                              | C++      |         40 |         32 |         11 |         83 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/dac/stepper_dac.cpp                                                                            | C++      |         56 |         24 |         23 |        103 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/dac/stepper_dac.h                                                                              | C++      |         13 |         24 |          5 |         42 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/digipot/digipot.h                                                                              | C++      |          7 |         24 |          3 |         34 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/digipot/digipot_mcp4018.cpp                                                                    | C++      |         68 |         24 |         17 |        109 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/digipot/digipot_mcp4451.cpp                                                                    | C++      |         61 |         28 |         15 |        104 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/direct_stepping.cpp                                                                            | C++      |        187 |         26 |         52 |        265 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/direct_stepping.h                                                                              | C++      |         72 |         32 |         30 |        134 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/e_parser.cpp                                                                                   | C++      |         11 |         26 |          9 |         46 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/e_parser.h                                                                                     | C++      |        167 |         27 |         32 |        226 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/easythreed_ui.cpp                                                                              | C++      |        180 |         29 |         28 |        237 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/easythreed_ui.h                                                                                | C++      |         11 |         21 |          4 |         36 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/encoder_i2c.cpp                                                                                | C++      |        722 |        215 |        192 |      1,129 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/encoder_i2c.h                                                                                  | C++      |        215 |         32 |         74 |        321 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/ethernet.cpp                                                                                   | C++      |        116 |         23 |         37 |        176 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/ethernet.h                                                                                     | C++      |         13 |         22 |          5 |         40 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/fancheck.cpp                                                                                   | C++      |        158 |         28 |         22 |        208 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/fancheck.h                                                                                     | C++      |         48 |         24 |         18 |         90 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/fanmux.cpp                                                                                     | C++      |         23 |         25 |          8 |         56 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/fanmux.h                                                                                       | C++      |          3 |         24 |          3 |         30 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/filwidth.cpp                                                                                   | C++      |         21 |         21 |          8 |         50 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/filwidth.h                                                                                     | C++      |         60 |         41 |         20 |        121 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/fwretract.cpp                                                                                  | C++      |        125 |        101 |         44 |        270 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/fwretract.h                                                                                    | C++      |         49 |         24 |         17 |         90 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/host_actions.cpp                                                                               | C++      |        149 |         29 |         27 |        205 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/host_actions.h                                                                                 | C++      |         75 |         21 |         19 |        115 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/hotend_idle.cpp                                                                                | C++      |         50 |         27 |         15 |         92 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/hotend_idle.h                                                                                  | C++      |         13 |         21 |          4 |         38 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/joystick.cpp                                                                                   | C++      |        119 |         37 |         29 |        185 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/joystick.h                                                                                     | C++      |         24 |         24 |          5 |         53 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/blinkm.cpp                                                                                | C++      |         16 |         24 |          7 |         47 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/blinkm.h                                                                                  | C++      |          4 |         24 |          4 |         32 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/leds.cpp                                                                                  | C++      |        144 |         32 |         44 |        220 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/leds.h                                                                                    | C++      |        148 |         31 |         38 |        217 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/neopixel.cpp                                                                              | C++      |        117 |         24 |         28 |        169 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/neopixel.h                                                                                | C++      |        109 |         40 |         39 |        188 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/pca9533.cpp                                                                               | C++      |         75 |         37 |         16 |        128 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/pca9533.h                                                                                 | C++      |         22 |         30 |          8 |         60 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/pca9632.cpp                                                                               | C++      |        110 |         28 |         23 |        161 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/pca9632.h                                                                                 | C++      |          8 |         25 |          5 |         38 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/printer_event_leds.cpp                                                                    | C++      |         48 |         24 |         22 |         94 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/printer_event_leds.h                                                                      | C++      |         48 |         24 |         15 |         87 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/tempstat.cpp                                                                              | C++      |         25 |         24 |          7 |         56 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/leds/tempstat.h                                                                                | C++      |          2 |         24 |          3 |         29 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/max7219.cpp                                                                                    | C++      |        541 |         71 |         87 |        699 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/max7219.h                                                                                      | C++      |         74 |         62 |         26 |        162 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/meatpack.cpp                                                                                   | C++      |        130 |         64 |         25 |        219 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/meatpack.h                                                                                     | C++      |         78 |         72 |         26 |        176 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/mixing.cpp                                                                                     | C++      |        141 |         34 |         36 |        211 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/mixing.h                                                                                       | C++      |        175 |         43 |         45 |        263 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/mmu/mmu.cpp                                                                                    | C++      |         19 |         21 |          7 |         47 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/mmu/mmu.h                                                                                      | C++      |          3 |         21 |          2 |         26 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/mmu/mmu2-serial-protocol.md                                                                    | Markdown |         51 |          0 |         44 |         95 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/mmu/mmu2.cpp                                                                                   | C++      |        731 |        118 |        198 |      1,047 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/mmu/mmu2.h                                                                                     | C++      |         71 |         21 |         20 |        112 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/password/password.cpp                                                                          | C++      |         24 |         29 |          9 |         62 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/password/password.h                                                                            | C++      |         27 |         21 |         10 |         58 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/pause.cpp                                                                                      | C++      |        408 |        163 |        156 |        727 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/pause.h                                                                                        | C++      |         84 |         26 |         20 |        130 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/power.cpp                                                                                      | C++      |        147 |         51 |         55 |        253 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/power.h                                                                                        | C++      |         39 |         24 |         10 |         73 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/power_monitor.cpp                                                                              | C++      |         42 |         21 |         16 |         79 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/power_monitor.h                                                                                | C++      |         99 |         21 |         19 |        139 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/powerloss.cpp                                                                                  | C++      |        463 |        122 |        128 |        713 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/powerloss.h                                                                                    | C++      |        142 |         38 |         46 |        226 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/probe_temp_comp.cpp                                                                            | C++      |        186 |         34 |         38 |        258 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/probe_temp_comp.h                                                                              | C++      |         66 |         35 |         16 |        117 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/repeat.cpp                                                                                     | C++      |         48 |         22 |         13 |         83 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/repeat.h                                                                                       | C++      |         26 |         21 |          7 |         54 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/runout.cpp                                                                                     | C++      |         94 |         30 |         24 |        148 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/runout.h                                                                                       | C++      |        295 |         59 |         60 |        414 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/solenoid.cpp                                                                                   | C++      |         23 |         23 |         10 |         56 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/solenoid.h                                                                                     | C++      |          4 |         21 |          2 |         27 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/spindle_laser.cpp                                                                              | C++      |        113 |         47 |         22 |        182 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/spindle_laser.h                                                                                | C++      |        213 |         67 |         50 |        330 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/spindle_laser_types.h                                                                          | C++      |         50 |         25 |          9 |         84 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/stepper_driver_safety.cpp                                                                      | C++      |         73 |         21 |         24 |        118 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/stepper_driver_safety.h                                                                        | C++      |          4 |         21 |          4 |         29 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/tmc_util.cpp                                                                                   | C++      |      1,176 |         43 |        118 |      1,337 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/tmc_util.h                                                                                     | C++      |        301 |         31 |         58 |        390 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/tramming.cpp                                                                                   | C++      |         37 |         22 |         11 |         70 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/tramming.h                                                                                     | C++      |         48 |         21 |         10 |         79 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/twibus.cpp                                                                                     | C++      |        150 |         32 |         56 |        238 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/twibus.h                                                                                       | C++      |         50 |        170 |         35 |        255 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/x_twist.cpp                                                                                    | C++      |         37 |         21 |         10 |         68 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/x_twist.h                                                                                      | C++      |         14 |         21 |          6 |         41 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/z_stepper_align.cpp                                                                            | C++      |         81 |         24 |         17 |        122 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/feature/z_stepper_align.h                                                                              | C++      |         11 |         24 |          7 |         42 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/LED_Strobing/U1.cpp                                                                              | C++      |          6 |          1 |          7 |         14 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/G26.cpp                                                                                 | C++      |        512 |        209 |        156 |        877 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/G35.cpp                                                                                 | C++      |         89 |         51 |         36 |        176 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/G42.cpp                                                                                 | C++      |         36 |         26 |         12 |         74 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/M420.cpp                                                                                | C++      |        159 |         55 |         48 |        262 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/abl/G29.cpp                                                                             | C++      |        538 |        194 |        192 |        924 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/abl/M421.cpp                                                                            | C++      |         31 |         35 |          9 |         75 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/mbl/G29.cpp                                                                             | C++      |        150 |         47 |         33 |        230 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/mbl/M421.cpp                                                                            | C++      |         19 |         33 |          8 |         60 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/ubl/G29.cpp                                                                             | C++      |         13 |         24 |         11 |         48 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/ubl/M421.cpp                                                                            | C++      |         30 |         36 |         11 |         77 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/board_identifier/U2.cpp                                                                          | C++      |          4 |          2 |          2 |          8 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G28.cpp                                                                                | C++      |        388 |         84 |        118 |        590 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G33.cpp                                                                                | C++      |        510 |         98 |         91 |        699 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G34.cpp                                                                                | C++      |        108 |         28 |         25 |        161 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G34_M422.cpp                                                                           | C++      |        357 |        117 |         96 |        570 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G425.cpp                                                                               | C++      |        523 |        144 |         98 |        765 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G76_M871.cpp                                                                           | C++      |        179 |        108 |         53 |        340 |
